timepoint	epi	muscle	neuron
12_122_7	14dpa1	0.982253053611522	0.823049637694664	0.251049531977561
12_125_7	14dpa1	0.882960232408582	0.553729238837901	-0.196687441662149
12_127_7	14dpa1	0.889070049277473	0.200983555470537	-0.113974451541628
12_128_7	14dpa1	0.644540780438994	-0.49965624414443	-0.0857123923191276
12_129_7	14dpa1	0.355620512485119	0.463414091559296	-0.185506908318163
12_131_7	14dpa1	0.57640670820945	0.127046242292355	0.315159024702278
12_133_7	14dpa1	0.523138756763414	0.495030771800097	0.103202073414987
12_138_0_7	14dpa1	0.495689132813556	0.588003289127238	0.231999531206464
12_151_7	14dpa1	0.706828325937409	0.380210770120473	0.190150588311653
13_1_0_7	14dpa1	1.75531364306933	-0.316220319762436	-0.16556959592486
13_1_1_7	14dpa1	1.31338750074397	-0.202245729809484	-0.220414926613398
13_2_0_7	14dpa1	1.40162473365206	0.330007530009828	-0.171467762915852
13_2_1_7	14dpa1	1.12936079664275	0.542981982190004	-0.0378783740548512
13_2_2_7	14dpa1	1.30975308566288	0.178110358956524	-0.0160799332200995
13_2_3_7	14dpa1	0.85042383971947	0.292787636757492	-0.168067012448785
13_3_0_7	14dpa1	1.62748481814179	-0.32741186942033	0.203519853118674
13_4_7	14dpa1	1.28904636186132	0.278082127206788	-0.141653438763052
13_6_0_7	14dpa1	1.18393616016238	-0.6569179148155	0.0192472617737368
13_6_1_7	14dpa1	1.30371649805822	0.239053539965595	-0.154189364339813
13_8_0_7	14dpa1	1.32917070198935	-0.259703814664801	-0.189029713823557
13_8_1_7	14dpa1	1.16900199914823	-0.508378938111069	-0.0316289026046014
13_9_0_7	14dpa1	1.24140854206466	0.14008092754998	-0.0109924536940797
13_9_1_7	14dpa1	1.51072342399864	-0.24756107845445	-0.167507509900111
13_10_0_7	14dpa1	0.93747000205221	-0.111628911433663	-0.0807057371321214
13_10_1_7	14dpa1	0.918356476968264	-0.305370699471756	0.060411912569664
13_10_2_7	14dpa1	1.03428909854342	0.0193258851137588	0.135536169808586
13_12_0_7	14dpa1	1.59379839578384	0.268303000661996	-0.161329680570957
13_13_0_7	14dpa1	1.10113079593234	-0.490101643164648	-0.199082408390603
13_13_1_7	14dpa1	0.986081308936657	-0.236985982421335	-0.0592171212225518
13_14_0_7	14dpa1	1.41008830044977	0.205740764070523	0.0747371432491678
13_14_1_7	14dpa1	1.60492414317818	-0.29876193437686	-0.208127057100979
13_15_0_7	14dpa1	1.64723951251619	-0.16063116608262	-0.0360093064583174
13_15_1_7	14dpa1	1.51404732281445	0.439085862867262	0.239566366404631
13_16_0_7	14dpa1	1.0274234508516	-0.118900065288778	-0.162653070797083
13_16_1_7	14dpa1	1.21887771325447	-0.222525976506735	-0.142096559845128
13_17_0_7	14dpa1	1.39112518932437	0.433924600612843	0.255950475563059
13_17_1_7	14dpa1	1.46969780596267	-0.034876230584139	-0.151497810788059
13_17_2_7	14dpa1	1.53965516401567	0.0332677890638302	0.0476487809115386
13_17_3_7	14dpa1	1.62561018354314	0.50557774389174	0.0607682282542292
13_17_4_7	14dpa1	1.4323752341093	0.0594100333802006	-0.0113976590929528
13_18_0_7	14dpa1	1.20763943064096	0.118916536167203	0.0445216790137724
13_33_7	14dpa1	1.66208845359553	0.146510590151067	0.161355569030902
15_81_1_7	14dpa1	0.755440453331067	0.36653092738491	-0.0478617484842356
15_84_7	14dpa1	1.40726553407483	0.461786166051394	0.164299567130912
15_95_7	14dpa1	1.16753852686937	0.0939861316856954	0.00139223831761073
